"table","primary_key","column","old_value","new_value","reason","evidence_type","evidence_source"
"results","1121|839","milliseconds","","5536192","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1121|842","milliseconds","","5537159","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1121|848","milliseconds","","5516628","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1121|852","milliseconds","","5514224","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1121|855","milliseconds","","5511501","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1121|858","milliseconds","","5525537","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|815","milliseconds","4862704","4856916","Consistent with the corrected time string.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result"
"results","1122|817","milliseconds","","4863988","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|822","milliseconds","","4866388","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|825","milliseconds","4955646","4949010","Consistent with the corrected time string.","official","https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result"
"results","1122|839","milliseconds","","4847274","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|852","milliseconds","","4853806","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|855","milliseconds","","4872826","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1122|858","milliseconds","","4850058","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|817","milliseconds","","4838351","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|822","milliseconds","","4869169","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|825","milliseconds","","4830924","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|839","milliseconds","","4880822","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|842","milliseconds","","4867796","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|847","milliseconds","","4684734","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|848","milliseconds","","4831852","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1123|855","milliseconds","","4871136","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|807","milliseconds","","6870734","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|822","milliseconds","","6882459","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|825","milliseconds","","6881485","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|839","milliseconds","","6904718","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|840","milliseconds","","6874799","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|842","milliseconds","","6918632","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|852","milliseconds","","6865168","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1124|858","milliseconds","","6936331","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|4","milliseconds","","5200376","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|807","milliseconds","","5150529","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|817","milliseconds","","5152913","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|822","milliseconds","","5181595","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|825","milliseconds","","5151686","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|839","milliseconds","","5169159","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|842","milliseconds","","5174967","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|852","milliseconds","","5143108","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|855","milliseconds","","5170185","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1127|858","milliseconds","","5176303","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|4","milliseconds","","8599408","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|817","milliseconds","","8599818","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|822","milliseconds","","8600042","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|840","milliseconds","","8601521","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|842","milliseconds","","8655795","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|848","milliseconds","","8649606","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|852","milliseconds","","8635041","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|855","milliseconds","","8650814","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1128|858","milliseconds","","8604580","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1129|855","milliseconds","","6401455","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|4","milliseconds","","5309724","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|817","milliseconds","","5344277","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|822","milliseconds","","5353540","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|825","milliseconds","","5355015","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|840","milliseconds","","5325479","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|848","milliseconds","","5358376","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|852","milliseconds","","5369131","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|855","milliseconds","","5315703","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1130|858","milliseconds","","5305093","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|4","milliseconds","","5110458","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|822","milliseconds","","5082173","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|840","milliseconds","","5073032","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|846","milliseconds","","4596054","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|848","milliseconds","","5078664","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|852","milliseconds","","5075943","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|855","milliseconds","","5107680","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1131|858","milliseconds","","5069107","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|815","milliseconds","","4965064","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|817","milliseconds","","4956996","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|822","milliseconds","","4988880","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|839","milliseconds","","4957741","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|844","milliseconds","","4987532","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1132|855","milliseconds","","5001535","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|807","milliseconds","","5915173","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|817","milliseconds","","5899913","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|822","milliseconds","","5927398","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|825","milliseconds","","5927291","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|839","milliseconds","","5942918","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|848","milliseconds","","5918758","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|855","milliseconds","","5945587","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1133|858","milliseconds","","5934580","Kaggle leaves this null; Jolpica supplies it and the value is consistent with the winner's time plus the stated gap.","internal","derived: winner_ms + gap == driver_ms"
"results","1134|1","milliseconds","526","4797566","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|4","milliseconds","50489","4847003","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|807","milliseconds","89359","4885873","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|815","milliseconds","43721","4840235","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|817","milliseconds","55452","4851966","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|822","milliseconds","71164","4867678","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|825","milliseconds","67157","4863671","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
"results","1134|830","milliseconds","9752","4806266","Russell won on track then was disqualified; Kaggle kept gaps relative to him, leaving the classified winner with time=+0.526. Official: Hamilton 1:19:57.566, Piastri +0.647, Leclerc +8.023.","official","https://www.formula1.com/en/results/2024/races/1242/belgium/race-result"
